regime,trace_index,trace_id,profile,model,intervals,events,nll_total,nll_per_interval
paired_sparse,12,paired-sparse-id-0012,fast,lstm_dt,35,87,38.23649479370101,1.092471279820029
paired_sparse,12,paired-sparse-id-0012,fast,mlp_dt,35,87,35.22406338261986,1.006401810931996
paired_sparse,12,paired-sparse-id-0012,fast,gru_param_matched,35,87,35.21535352125884,1.0061529577502526
paired_sparse,12,paired-sparse-id-0012,fast,constant,35,87,48.42513369744713,1.3835752484984893
paired_sparse,13,paired-sparse-id-0013,robust,cfc,37,72,46.67027335976789,1.2613587394531862
paired_sparse,13,paired-sparse-id-0013,robust,gru_dt,37,72,47.60633411402003,1.286657678757298
paired_sparse,13,paired-sparse-id-0013,robust,lstm_dt,37,72,49.184406724476,1.3293082898507027
paired_sparse,13,paired-sparse-id-0013,robust,mlp_dt,37,72,49.866378553207014,1.347739960897487
paired_sparse,13,paired-sparse-id-0013,robust,gru_param_matched,37,72,49.108783638075046,1.327264422650677
paired_sparse,13,paired-sparse-id-0013,robust,constant,37,72,53.29007875919343,1.4402723988971196
paired_sparse,14,paired-sparse-id-0014,fast,cfc,44,69,54.51540135778563,1.2389863944951278
paired_sparse,14,paired-sparse-id-0014,fast,gru_dt,44,69,53.91985579167177,1.2254512679925402
paired_sparse,14,paired-sparse-id-0014,fast,lstm_dt,44,69,56.63847374481877,1.287238039654972
paired_sparse,14,paired-sparse-id-0014,fast,mlp_dt,44,69,60.38358168555335,1.3723541292171217
paired_sparse,14,paired-sparse-id-0014,fast,gru_param_matched,44,69,55.224226710574285,1.255096061603961
paired_sparse,14,paired-sparse-id-0014,fast,constant,44,69,55.34219701224247,1.2577772048236926
paired_sparse,15,paired-sparse-id-0015,robust,cfc,45,59,57.916538978436776,1.2870341995208172
paired_sparse,15,paired-sparse-id-0015,robust,gru_dt,45,59,58.99084836610814,1.3109077414690697
paired_sparse,15,paired-sparse-id-0015,robust,lstm_dt,45,59,60.634388727226835,1.3474308606050407
paired_sparse,15,paired-sparse-id-0015,robust,mlp_dt,45,59,58.8422941312368,1.3076065362497067
paired_sparse,15,paired-sparse-id-0015,robust,gru_param_matched,45,59,57.835926046468245,1.2852428010326276
paired_sparse,15,paired-sparse-id-0015,robust,constant,45,59,62.18259228374465,1.3818353840832143
paired_sparse,16,paired-sparse-id-0016,fast,cfc,40,108,30.35047935289756,0.758761983822439
paired_sparse,16,paired-sparse-id-0016,fast,gru_dt,40,108,26.932127948041842,0.673303198701046
paired_sparse,16,paired-sparse-id-0016,fast,lstm_dt,40,108,27.409469497625366,0.6852367374406342
paired_sparse,16,paired-sparse-id-0016,fast,mlp_dt,40,108,28.04293712820703,0.7010734282051757
paired_sparse,16,paired-sparse-id-0016,fast,gru_param_matched,40,108,28.883558382939142,0.7220889595734785
paired_sparse,16,paired-sparse-id-0016,fast,constant,40,108,34.06030455217869,0.8515076138044673
paired_sparse,17,paired-sparse-id-0017,robust,cfc,44,50,52.54822461615839,1.194277832185418
paired_sparse,17,paired-sparse-id-0017,robust,gru_dt,44,50,54.66801294987998,1.2424548397699995
paired_sparse,17,paired-sparse-id-0017,robust,lstm_dt,44,50,55.17357028511161,1.253944779207082
paired_sparse,17,paired-sparse-id-0017,robust,mlp_dt,44,50,53.0041515070678,1.2046398069788138
paired_sparse,17,paired-sparse-id-0017,robust,gru_param_matched,44,50,54.537893298046875,1.2394975749556107
paired_sparse,17,paired-sparse-id-0017,robust,constant,44,50,62.94330067184099,1.4305295607236588
paired_sparse,18,paired-sparse-id-0018,fast,cfc,38,118,17.31236076724585,0.4555884412433118
paired_sparse,18,paired-sparse-id-0018,fast,gru_dt,38,118,13.073464553364662,0.34403854087801744
paired_sparse,18,paired-sparse-id-0018,fast,lstm_dt,38,118,11.583015513398431,0.3048161977210113
paired_sparse,18,paired-sparse-id-0018,fast,mlp_dt,38,118,15.437887239703368,0.4062601905185097
paired_sparse,18,paired-sparse-id-0018,fast,gru_param_matched,38,118,12.48712528630395,0.3286085601658934
paired_sparse,18,paired-sparse-id-0018,fast,constant,38,118,38.011203463723966,1.000294827992736
paired_sparse,19,paired-sparse-id-0019,robust,cfc,41,68,58.6724027163314,1.4310342125934488
paired_sparse,19,paired-sparse-id-0019,robust,gru_dt,41,68,59.67185371326478,1.4554110661771897
paired_sparse,19,paired-sparse-id-0019,robust,lstm_dt,41,68,60.428150986465354,1.4738573411333014
paired_sparse,19,paired-sparse-id-0019,robust,mlp_dt,41,68,57.509630264876435,1.4026739088994253
paired_sparse,19,paired-sparse-id-0019,robust,gru_param_matched,41,68,60.26489589884187,1.4698755097278504
paired_sparse,19,paired-sparse-id-0019,robust,constant,41,68,61.421884113465694,1.498094734474773
high_mobility,0,high_mobility-0000,fast,cfc,89,76,104.47338661214096,1.1738582765409096
high_mobility,0,high_mobility-0000,fast,gru_dt,89,76,92.07622810616647,1.0345643607434434
high_mobility,0,high_mobility-0000,fast,lstm_dt,89,76,93.18036785091715,1.046970425291204
high_mobility,0,high_mobility-0000,fast,mlp_dt,89,76,92.78225235743017,1.0424972174992153
high_mobility,0,high_mobility-0000,fast,gru_param_matched,89,76,91.0341824870489,1.0228559830005495
high_mobility,0,high_mobility-0000,fast,constant,89,76,123.38647906846124,1.386364933353497
high_mobility,1,high_mobility-0001,robust,cfc,99,78,53.747657355787815,0.5429056298564425
high_mobility,1,high_mobility-0001,robust,gru_dt,99,78,52.809582755988956,0.5334301288483733
high_mobility,1,high_mobility-0001,robust,lstm_dt,99,78,54.443557300632094,0.549934922228607
high_mobility,1,high_mobility-0001,robust,mlp_dt,99,78,60.12907041114802,0.6073643475873537
high_mobility,1,high_mobility-0001,robust,gru_param_matched,99,78,52.11351565857749,0.5263991480664393
high_mobility,1,high_mobility-0001,robust,constant,99,78,76.16407508852771,0.7693340918033102
high_mobility,2,high_mobility-0002,fast,cfc,86,104,93.00323255238328,1.0814329366556195
high_mobility,2,high_mobility-0002,fast,gru_dt,86,104,81.30917583517746,0.9454555329671798
high_mobility,2,high_mobility-0002,fast,lstm_dt,86,104,86.4155516699082,1.0048319961617231
high_mobility,2,high_mobility-0002,fast,mlp_dt,86,104,85.4963066418973,0.994143100487178
high_mobility,2,high_mobility-0002,fast,gru_param_matched,86,104,79.26686832890528,0.9217077712663404
high_mobility,2,high_mobility-0002,fast,constant,86,104,144.70939419016727,1.6826673743042706
high_mobility,3,high_mobility-0003,robust,cfc,90,56,63.12649616634575,0.7014055129593972
high_mobility,3,high_mobility-0003,robust,gru_dt,90,56,63.24391756587722,0.7027101951764135
high_mobility,3,high_mobility-0003,robust,lstm_dt,90,56,61.57450035209476,0.6841611150232751
high_mobility,3,high_mobility-0003,robust,mlp_dt,90,56,64.68244160952638,0.7186937956614042
high_mobility,3,high_mobility-0003,robust,gru_param_matched,90,56,63.722582018066916,0.7080286890896323
high_mobility,3,high_mobility-0003,robust,constant,90,56,69.63035730996893,0.7736706367774325
high_mobility,4,high_mobility-0004,fast,cfc,80,123,48.22419603280784,0.602802450410098
high_mobility,4,high_mobility-0004,fast,gru_dt,80,123,43.18000715148488,0.539750089393561
high_mobility,4,high_mobility-0004,fast,lstm_dt,80,123,45.20109929429885,0.5650137411787356
high_mobility,4,high_mobility-0004,fast,mlp_dt,80,123,55.08384911994702,0.6885481139993377
high_mobility,4,high_mobility-0004,fast,gru_param_matched,80,123,50.68801571252784,0.633600196406598
high_mobility,4,high_mobility-0004,fast,constant,80,123,77.75617833785644,0.9719522292232055
high_mobility,5,high_mobility-0005,robust,cfc,85,61,60.874567522596216,0.716171382618779
high_mobility,5,high_mobility-0005,robust,gru_dt,85,61,60.253196945091666,0.7088611405304902
high_mobility,5,high_mobility-0005,robust,lstm_dt,85,61,59.12879082913602,0.6956328332839532
high_mobility,5,high_mobility-0005,robust,mlp_dt,85,61,63.35308506950139,0.7453304125823693
high_mobility,5,high_mobility-0005,robust,gru_param_matched,85,61,61.94102068121016,0.7287178903671784
high_mobility,5,high_mobility-0005,robust,constant,85,61,77.00145308652687,0.9058994480767867
high_mobility,6,high_mobility-0006,fast,cfc,88,92,59.933493944796105,0.6810624311908648
high_mobility,6,high_mobility-0006,fast,gru_dt,88,92,56.161401915856345,0.6381977490438221
high_mobility,6,high_mobility-0006,fast,lstm_dt,88,92,57.91332617800784,0.6581059792955437
high_mobility,6,high_mobility-0006,fast,mlp_dt,88,92,59.725118746433964,0.6786945312094769
high_mobility,6,high_mobility-0006,fast,gru_param_matched,88,92,56.96806518647551,0.6473643771190399
high_mobility,6,high_mobility-0006,fast,constant,88,92,77.37881570381406,0.8793047239069779
high_mobility,7,high_mobility-0007,robust,cfc,80,40,63.79565681505366,0.7974457101881708
high_mobility,7,high_mobility-0007,robust,gru_dt,80,40,60.61825417304199,0.7577281771630249
