regime,trace_index,model,values,above_30,above_20,max_rate,p999_rate
paired_sparse,11,constant,93,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,12,cfc,105,0,0,4.684055805206299,4.67993688583374
paired_sparse,12,gru_dt,105,0,0,4.960275650024414,4.959699630737305
paired_sparse,12,lstm_dt,105,0,0,5.128570556640625,5.128019332885742
paired_sparse,12,mlp_dt,105,0,0,4.652582168579102,4.640402793884277
paired_sparse,12,gru_param_matched,105,0,0,5.270825386047363,5.269782543182373
paired_sparse,12,constant,105,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,13,cfc,111,0,0,2.733600616455078,2.730093240737915
paired_sparse,13,gru_dt,111,0,0,3.0055699348449707,2.99849271774292
paired_sparse,13,lstm_dt,111,0,0,3.2250192165374756,3.1994361877441406
paired_sparse,13,mlp_dt,111,0,0,3.072406053543091,3.0629723072052
paired_sparse,13,gru_param_matched,111,0,0,2.8854904174804688,2.882718563079834
paired_sparse,13,constant,111,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,14,cfc,132,0,0,4.258590221405029,4.191695690155029
paired_sparse,14,gru_dt,132,0,0,4.165616512298584,4.07078218460083
paired_sparse,14,lstm_dt,132,0,0,4.014929294586182,3.968796491622925
paired_sparse,14,mlp_dt,132,0,0,4.227358818054199,4.164774417877197
paired_sparse,14,gru_param_matched,132,0,0,4.442026615142822,4.374672889709473
paired_sparse,14,constant,132,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,15,cfc,135,0,0,3.050440549850464,2.975517511367798
paired_sparse,15,gru_dt,135,0,0,2.8162755966186523,2.7622671127319336
paired_sparse,15,lstm_dt,135,0,0,2.7338929176330566,2.6924893856048584
paired_sparse,15,mlp_dt,135,0,0,3.1329495906829834,3.0591580867767334
paired_sparse,15,gru_param_matched,135,0,0,2.8262977600097656,2.7963454723358154
paired_sparse,15,constant,135,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,16,cfc,120,0,0,4.082158088684082,4.080287456512451
paired_sparse,16,gru_dt,120,0,0,4.548883438110352,4.4707818031311035
paired_sparse,16,lstm_dt,120,0,0,4.263682842254639,4.222362995147705
paired_sparse,16,mlp_dt,120,0,0,4.288910865783691,4.269655227661133
paired_sparse,16,gru_param_matched,120,0,0,4.7260894775390625,4.672893524169922
paired_sparse,16,constant,120,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,17,cfc,132,0,0,2.7037830352783203,2.6832997798919678
paired_sparse,17,gru_dt,132,0,0,2.766045331954956,2.7322280406951904
paired_sparse,17,lstm_dt,132,0,0,2.97123384475708,2.9275708198547363
paired_sparse,17,mlp_dt,132,0,0,3.1177093982696533,3.0622010231018066
paired_sparse,17,gru_param_matched,132,0,0,3.022576332092285,2.9573047161102295
paired_sparse,17,constant,132,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,18,cfc,114,0,0,4.222207069396973,4.2001423835754395
paired_sparse,18,gru_dt,114,0,0,4.094386100769043,4.079451084136963
paired_sparse,18,lstm_dt,114,0,0,4.265161037445068,4.236382484436035
paired_sparse,18,mlp_dt,114,0,0,4.0431084632873535,4.035991668701172
paired_sparse,18,gru_param_matched,114,0,0,4.02603006362915,4.0119547843933105
paired_sparse,18,constant,114,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,19,cfc,123,0,0,3.100780725479126,3.014150857925415
paired_sparse,19,gru_dt,123,0,0,2.615023136138916,2.5969290733337402
paired_sparse,19,lstm_dt,123,0,0,2.5858964920043945,2.573922634124756
paired_sparse,19,mlp_dt,123,0,0,2.51556134223938,2.5085229873657227
paired_sparse,19,gru_param_matched,123,0,0,2.7204082012176514,2.6915981769561768
paired_sparse,19,constant,123,0,0,1.9818673133850098,1.9818673133850098
high_mobility,0,cfc,267,0,0,2.8638713359832764,2.843034505844116
high_mobility,0,gru_dt,267,0,0,2.5163002014160156,2.4770498275756836
high_mobility,0,lstm_dt,267,0,0,2.6225779056549072,2.60532808303833
high_mobility,0,mlp_dt,267,0,0,2.449113607406616,2.391713857650757
high_mobility,0,gru_param_matched,267,0,0,2.3904476165771484,2.324481964111328
high_mobility,0,constant,267,0,0,1.9818673133850098,1.9818673133850098
high_mobility,1,cfc,297,0,0,3.66778826713562,3.661245107650757
high_mobility,1,gru_dt,297,0,0,3.80863356590271,3.767361879348755
high_mobility,1,lstm_dt,297,0,0,4.071457862854004,4.037711143493652
high_mobility,1,mlp_dt,297,0,0,3.641979217529297,3.485146999359131
high_mobility,1,gru_param_matched,297,0,0,4.010564804077148,3.951744794845581
high_mobility,1,constant,297,0,0,1.9818673133850098,1.9818673133850098
high_mobility,2,cfc,258,0,0,4.310623645782471,4.273543357849121
high_mobility,2,gru_dt,258,0,0,4.187651634216309,4.184783935546875
high_mobility,2,lstm_dt,258,0,0,4.949460029602051,4.931602478027344
high_mobility,2,mlp_dt,258,0,0,3.9602019786834717,3.9019908905029297
high_mobility,2,gru_param_matched,258,0,0,3.753840684890747,3.7265403270721436
high_mobility,2,constant,258,0,0,1.9818673133850098,1.9818673133850098
high_mobility,3,cfc,270,0,0,2.704622268676758,2.5997190475463867
high_mobility,3,gru_dt,270,0,0,2.491440534591675,2.3892111778259277
high_mobility,3,lstm_dt,270,0,0,2.6863746643066406,2.55325984954834
high_mobility,3,mlp_dt,270,0,0,1.9904189109802246,1.946075677871704
high_mobility,3,gru_param_matched,270,0,0,2.1509480476379395,2.1152184009552
high_mobility,3,constant,270,0,0,1.9818673133850098,1.9818673133850098
high_mobility,4,cfc,240,0,0,4.316306114196777,4.2889604568481445
high_mobility,4,gru_dt,240,0,0,4.334556579589844,4.325531959533691
high_mobility,4,lstm_dt,240,0,0,4.930790901184082,4.92005729675293
high_mobility,4,mlp_dt,240,0,0,3.984316110610962,3.93841290473938
high_mobility,4,gru_param_matched,240,0,0,4.433708190917969,4.395512580871582
high_mobility,4,constant,240,0,0,1.9818673133850098,1.9818673133850098
high_mobility,5,cfc,255,0,0,3.5885045528411865,3.4149675369262695
high_mobility,5,gru_dt,255,0,0,3.5517640113830566,3.355067253112793
high_mobility,5,lstm_dt,255,0,0,4.0334086418151855,3.776477336883545
high_mobility,5,mlp_dt,255,0,0,3.2605838775634766,2.994145631790161
high_mobility,5,gru_param_matched,255,0,0,3.770343780517578,3.531775951385498
high_mobility,5,constant,255,0,0,1.9818673133850098,1.9818673133850098
high_mobility,6,cfc,264,0,0,4.141972064971924,4.099003314971924
high_mobility,6,gru_dt,264,0,0,3.677765130996704,3.64693546295166
high_mobility,6,lstm_dt,264,0,0,4.200141906738281,4.113626003265381
high_mobility,6,mlp_dt,264,0,0,3.3511874675750732,3.35025954246521
high_mobility,6,gru_param_matched,264,0,0,3.714026689529419,3.685281753540039
high_mobility,6,constant,264,0,0,1.9818673133850098,1.9818673133850098
high_mobility,7,cfc,240,0,0,2.478224754333496,2.47090220451355
high_mobility,7,gru_dt,240,0,0,2.3314106464385986,2.3001060485839844
high_mobility,7,lstm_dt,240,0,0,2.261791944503784,2.2184972763061523
high_mobility,7,mlp_dt,240,0,0,2.0376460552215576,2.0164031982421875
high_mobility,7,gru_param_matched,240,0,0,2.178770065307617,2.1297972202301025
high_mobility,7,constant,240,0,0,1.9818673133850098,1.9818673133850098
high_mobility,8,cfc,282,0,0,3.874722480773926,3.840933084487915
high_mobility,8,gru_dt,282,0,0,4.03432559967041,4.0005364418029785
high_mobility,8,lstm_dt,282,0,0,4.401419162750244,4.398335933685303
high_mobility,8,mlp_dt,282,0,0,3.973156452178955,3.942296028137207
high_mobility,8,gru_param_matched,282,0,0,3.8050878047943115,3.800231695175171
high_mobility,8,constant,282,0,0,1.9818673133850098,1.9818673133850098
high_mobility,9,cfc,267,0,0,2.3074302673339844,2.303514242172241
high_mobility,9,gru_dt,267,0,0,2.1178555488586426,2.1163299083709717
high_mobility,9,lstm_dt,267,0,0,2.116844654083252,2.113492965698242
high_mobility,9,mlp_dt,267,0,0,1.8350954055786133,1.831613302230835
high_mobility,9,gru_param_matched,267,0,0,2.0381524562835693,1.992404580116272
high_mobility,9,constant,267,0,0,1.9818673133850098,1.9818673133850098
high_mobility,10,cfc,267,0,0,4.063410758972168,4.0200419425964355
high_mobility,10,gru_dt,267,0,0,3.7940163612365723,3.733096122741699
high_mobility,10,lstm_dt,267,0,0,4.1289544105529785,4.120312213897705
high_mobility,10,mlp_dt,267,0,0,3.703425884246826,3.670151710510254
high_mobility,10,gru_param_matched,267,0,0,3.765167474746704,3.694535493850708
high_mobility,10,constant,267,0,0,1.9818673133850098,1.9818673133850098
high_mobility,11,cfc,261,0,0,2.922194719314575,2.911442279815674
high_mobility,11,gru_dt,261,0,0,2.788383960723877,2.7792396545410156
high_mobility,11,lstm_dt,261,0,0,2.942047357559204,2.9319543838500977
high_mobility,11,mlp_dt,261,0,0,2.459303617477417,2.439014434814453
high_mobility,11,gru_param_matched,261,0,0,2.6760342121124268,2.6654179096221924
high_mobility,11,constant,261,0,0,1.9818673133850098,1.9818673133850098
high_mobility,12,cfc,273,0,0,4.229424953460693,4.203624248504639
high_mobility,12,gru_dt,273,0,0,3.977630615234375,3.9682252407073975
high_mobility,12,lstm_dt,273,0,0,4.467838287353516,4.441512584686279
high_mobility,12,mlp_dt,273,0,0,3.7618918418884277,3.7556357383728027
high_mobility,12,gru_param_matched,273,0,0,4.180894374847412,4.114076614379883
high_mobility,12,constant,273,0,0,1.9818673133850098,1.9818673133850098
high_mobility,13,cfc,279,0,0,3.203118085861206,3.11094069480896
high_mobility,13,gru_dt,279,0,0,2.9996337890625,2.933976173400879
high_mobility,13,lstm_dt,279,0,0,3.4364356994628906,3.304539918899536
high_mobility,13,mlp_dt,279,0,0,2.8401849269866943,2.7412703037261963
high_mobility,13,gru_param_matched,279,0,0,2.960711717605591,2.8520607948303223
high_mobility,13,constant,279,0,0,1.9818673133850098,1.9818673133850098
high_mobility,14,cfc,252,0,0,3.930097818374634,3.8354861736297607
high_mobility,14,gru_dt,252,0,0,3.3142004013061523,3.284170150756836
high_mobility,14,lstm_dt,252,0,0,3.972580671310425,3.9348771572113037
high_mobility,14,mlp_dt,252,0,0,3.7090659141540527,3.6439146995544434
high_mobility,14,gru_param_matched,252,0,0,3.152996063232422,3.119851589202881
high_mobility,14,constant,252,0,0,1.9818673133850098,1.9818673133850098
high_mobility,15,cfc,243,0,0,2.9006996154785156,2.8384194374084473
high_mobility,15,gru_dt,243,0,0,2.4465346336364746,2.442586660385132
high_mobility,15,lstm_dt,243,0,0,2.647097587585449,2.623979091644287
high_mobility,15,mlp_dt,243,0,0,2.035952568054199,2.0290565490722656
high_mobility,15,gru_param_matched,243,0,0,2.199770927429199,2.1894454956054688
high_mobility,15,constant,243,0,0,1.9818673133850098,1.9818673133850098
high_mobility,16,cfc,288,0,0,3.78090763092041,3.7519371509552
high_mobility,16,gru_dt,288,0,0,3.090580940246582,3.0805349349975586
high_mobility,16,lstm_dt,288,0,0,3.546015739440918,3.5256974697113037
high_mobility,16,mlp_dt,288,0,0,2.6333930492401123,2.6328039169311523
high_mobility,16,gru_param_matched,288,0,0,2.7362630367279053,2.734968900680542
high_mobility,16,constant,288,0,0,1.9818673133850098,1.9818673133850098
high_mobility,17,cfc,261,0,0,3.087287664413452,3.0470550060272217
high_mobility,17,gru_dt,261,0,0,2.8983805179595947,2.872997999191284
high_mobility,17,lstm_dt,261,0,0,3.139761209487915,3.11002516746521
high_mobility,17,mlp_dt,261,0,0,2.2600672245025635,2.188868284225464
high_mobility,17,gru_param_matched,261,0,0,2.876887559890747,2.7918519973754883
high_mobility,17,constant,261,0,0,1.9818673133850098,1.9818673133850098
high_mobility,18,cfc,264,0,0,4.031442642211914,3.9879112243652344
high_mobility,18,gru_dt,264,0,0,3.738159418106079,3.7167654037475586
high_mobility,18,lstm_dt,264,0,0,3.975198984146118,3.9554224014282227
high_mobility,18,mlp_dt,264,0,0,3.3396408557891846,3.3373196125030518
high_mobility,18,gru_param_matched,264,0,0,3.6607673168182373,3.6167924404144287
high_mobility,18,constant,264,0,0,1.9818673133850098,1.9818673133850098
high_mobility,19,cfc,285,0,0,2.7604410648345947,2.66402530670166
high_mobility,19,gru_dt,285,0,0,2.5714070796966553,2.535245180130005
high_mobility,19,lstm_dt,285,0,0,2.7803847789764404,2.6938772201538086
high_mobility,19,mlp_dt,285,0,0,2.0996227264404297,2.0371313095092773
high_mobility,19,gru_param_matched,285,0,0,2.3563365936279297,2.3294732570648193
high_mobility,19,constant,285,0,0,1.9818673133850098,1.9818673133850098
high_congestion,0,cfc,258,0,0,2.5498361587524414,2.542996883392334
high_congestion,0,gru_dt,258,0,0,2.5012288093566895,2.466771364212036
high_congestion,0,lstm_dt,258,0,0,2.422205686569214,2.3767282962799072
high_congestion,0,mlp_dt,258,0,0,2.64011549949646,2.552218437194824
high_congestion,0,gru_param_matched,258,0,0,2.5973994731903076,2.5683653354644775
high_congestion,0,constant,258,0,0,1.9818673133850098,1.9818673133850098
high_congestion,1,cfc,252,0,0,3.0896496772766113,2.8561365604400635
high_congestion,1,gru_dt,252,0,0,3.02734375,2.864309787750244
high_congestion,1,lstm_dt,252,0,0,2.927546262741089,2.7473843097686768
high_congestion,1,mlp_dt,252,0,0,3.4173765182495117,3.207136869430542
high_congestion,1,gru_param_matched,252,0,0,2.9768900871276855,2.8359622955322266
high_congestion,1,constant,252,0,0,1.9818673133850098,1.9818673133850098
high_congestion,2,cfc,291,0,0,2.4958407878875732,2.4749858379364014
high_congestion,2,gru_dt,291,0,0,2.5090835094451904,2.477997303009033
high_congestion,2,lstm_dt,291,0,0,2.4856433868408203,2.45770263671875
high_congestion,2,mlp_dt,291,0,0,2.6041107177734375,2.5329973697662354
high_congestion,2,gru_param_matched,291,0,0,2.8303091526031494,2.706853151321411
high_congestion,2,constant,291,0,0,1.9818673133850098,1.9818673133850098
high_congestion,3,cfc,249,0,0,2.3625755310058594,2.3257603645324707
high_congestion,3,gru_dt,249,0,0,2.3008980751037598,2.2977747917175293
high_congestion,3,lstm_dt,249,0,0,2.386791944503784,2.3668859004974365
high_congestion,3,mlp_dt,249,0,0,2.5980441570281982,2.4519755840301514
high_congestion,3,gru_param_matched,249,0,0,2.2565839290618896,2.219320058822632
high_congestion,3,constant,249,0,0,1.9818673133850098,1.9818673133850098
high_congestion,4,cfc,270,0,0,3.4663171768188477,3.4627411365509033
high_congestion,4,gru_dt,270,0,0,3.732203483581543,3.658262014389038
high_congestion,4,lstm_dt,270,0,0,3.821568012237549,3.710292339324951
