hazard_model,regime,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight,state_hash
oracle,paired_sparse,semantic,5,0,15500975987367173758,248,65,34,1,29,0.036637542277339355,0.034482758620689655,7.257247467501486,68.48800000000001,4,4,15,12,22,9,fc605b10d8817c40c50befe02e74cf7366d2227605a7290d470177b5924c79da
oracle,paired_sparse,semantic,5,1,13811391642145551356,275,70,52,3,15,0.20018072289156638,0.2,8.124557257557452,124.17999999999995,3,3,12,6,9,9,3edd6b739e540f829a48959327893295eb25394473da27bf31bc05d3e0be8c83
cfc,paired_sparse,throughput,5,0,15500975987367173758,207,66,9,0,22,0.016881016042780753,0.0,4.082571444782839,15.588000000000001,6,4,24,9,57,0,2ef8398ad24eed7c1582e13a5975f2aa76b98f6dd264e39f205cb056791804d5
cfc,paired_sparse,throughput,5,1,13811391642145551356,250,57,38,2,17,0.10915702479338849,0.11764705882352941,9.667449918083578,93.116,4,4,18,8,10,9,69b937f9b62108849b6eae238f1b6253f812964bf3a8a83e4a9483f816453f13
cfc,paired_sparse,semantic,5,0,15500975987367173758,287,73,38,0,24,0.03875868372943329,0.0,8.343532524116354,74.68399999999998,7,6,27,9,29,6,61403fcb8c361353350a72ec122c92902c7758563373cc85afb3b3867409cc38
cfc,paired_sparse,semantic,5,1,13811391642145551356,252,56,43,1,18,0.0941006441223833,0.05555555555555555,9.796578653101635,97.97200000000001,4,3,18,8,10,3,2c92cc5cbd6cdde2fa86324396190317617ba0396407c4ef3ef3f61d1b70091b
gru_dt,paired_sparse,throughput,5,0,15500975987367173758,250,49,31,2,18,0.13124936386768454,0.1111111111111111,5.928950764630175,59.620000000000005,7,7,25,10,9,9,857f19978d6a1eca366a08d9f6bc9b86ef66239e72519990116e8a913469e925
gru_dt,paired_sparse,throughput,5,1,13811391642145551356,215,52,27,2,13,0.1283526473526474,0.15384615384615385,9.001025835221968,69.15599999999999,4,4,13,10,16,9,14e737ddec59c087001a8320e3a23f9e476c1206fc1901ecaea92a001410f994
gru_dt,paired_sparse,semantic,5,0,15500975987367173758,268,58,47,4,20,0.22083233979135627,0.2,6.098214113708161,104.88800000000002,5,5,16,9,2,9,ed70f91a0dd69a41aa9a9170350518766d40b15fa46b60da8a72de737a5e4f6d
gru_dt,paired_sparse,semantic,5,1,13811391642145551356,210,55,24,2,15,0.07959459459459461,0.13333333333333333,11.154063217943593,52.94400000000001,4,4,13,8,22,9,fbb374babe05c3c13772500c35d85d3b77ad42bd1eeb5abe08565a2172550bc3
gru_param_matched,paired_sparse,throughput,5,0,15500975987367173758,217,64,28,1,21,0.10289561586638839,0.047619047619047616,5.452616329297725,62.77599999999998,5,3,13,7,36,0,f4d22b4e442530ffed391c1073c1d67276aa7ba72a19a5b940159fdf4b6a4894
gru_param_matched,paired_sparse,throughput,5,1,13811391642145551356,247,55,46,0,18,0.058087591240875924,0.0,9.765583516438575,110.04400000000004,3,3,9,12,1,8,8dadc38e8a4b7554740bc9d429ef4ca62f2b968d6a54fbf056fc66abbdb40f96
gru_param_matched,paired_sparse,semantic,5,0,15500975987367173758,273,64,50,4,21,0.20944815588030627,0.19047619047619047,6.097715387606116,111.56000000000002,5,5,13,8,5,9,2cd4cb08a7553571cce5e9551b89b2845e2e7f8691b8c0ff007b45a8576b86b6
gru_param_matched,paired_sparse,semantic,5,1,13811391642145551356,218,50,31,0,20,0.011820472440944887,0.0,12.169790417847372,66.532,4,3,15,10,16,3,1fe7c4768ff18e6fe880592026c107102f14a4284620a9f98bcb3f65a15ee451
constant,paired_sparse,throughput,5,0,15500975987367173758,302,59,59,6,31,0.22532352941176478,0.1935483870967742,5.776392407824235,119.94800000000005,6,6,23,11,0,0,24369e99d1abf629c764323c182029e26c42b3bad045d8084457fe92ce53dde1
constant,paired_sparse,throughput,5,1,13811391642145551356,263,59,52,8,16,0.5229368155012639,0.5,2.9349385015859144,127.99600000000001,4,2,14,10,7,0,026e784f5a00dcc74586e0ea41fad71454e4195fddebb3152a310210372c4498
constant,paired_sparse,semantic,5,0,15500975987367173758,252,55,27,0,18,0.03351094890510951,0.0,7.572030411102312,49.572,8,6,32,9,28,0,89dd2a7f540a1dd226c08406e464619115c771f72be228e3c8ebc0f086596d38
constant,paired_sparse,semantic,5,1,13811391642145551356,237,63,48,8,16,0.502782502044154,0.5,2.708436863029639,117.30000000000003,3,1,5,8,15,0,7509e404d40a301fdf4f093a61d9efea8ef80b8695c45cf6beaa702af260d173
