model,regime,scenario,replicate,policy,seed,events,goal_utility_ratio,critical_success_rate,mean_latency,energy,generated,delivered,outages,recoveries,handovers,reroutes,final_hash,thinning_rejections,thinning_windows,scenario_mobility,scenario_stress,scenario_channel,scenario_demand
cfc_closed,id,4,1,throughput,1.4201421121585963e+19,64,0.6014732994923857,0.8,0.5545842229600164,27.256,23,13,3,1,5,3,eb7ad7af2b07065481072bc927814bbb9c26f267a6cd0260e4ac2dfcc739e3ed,33,1,1.2785488958650764,0.9915783826090604,1.1190729702784916,1.0150355918679177
cfc_closed,id,4,1,semantic,1.4201421121585963e+19,63,0.6139390673575129,0.8,0.5780488902812787,27.256,22,13,3,1,5,3,25ec86e9ab17f9f6e6c1599326a559d4cd62146a2311b8c65c34bc72dc5a4de0,33,1,1.2785488958650764,0.9915783826090604,1.1190729702784916,1.0150355918679177
cfc_nojump,id,4,1,throughput,1.4201421121585963e+19,58,0.8828008247422681,1.0,0.4366318020158845,32.88,17,16,1,1,6,0,40e2b19b53a0c69f7950765c6c95c2d07b15a62e231a9e610a8d04aa4afc59f0,26,3,1.2785488958650764,0.9915783826090604,1.1190729702784916,1.0150355918679177
cfc_nojump,id,4,1,semantic,1.4201421121585963e+19,58,0.8828008247422681,1.0,0.4335906046599667,32.88,17,16,1,1,6,0,1b22f4f8b8c7e1010374a31af98f971579d4c2347cfed1936f08185286ee79e2,26,3,1.2785488958650764,0.9915783826090604,1.1190729702784916,1.0150355918679177
gru_closed,id,4,1,throughput,1.4201421121585963e+19,66,0.8684768316831684,1.0,0.5335137218314443,38.856,19,19,2,1,6,0,7664adbc3069dd35b156436592380c23b6e85020ed7f3aecaff9315a07496c0f,33,1,1.2785488958650764,0.9915783826090604,1.1190729702784916,1.0150355918679177
gru_closed,id,4,1,semantic,1.4201421121585963e+19,66,0.8684768316831684,1.0,0.5308147920868738,38.856,19,19,2,1,6,0,a4bf037585ca97ba5f522208a57be749fe23054e025e2722f2ad71aafc3d6ce7,33,1,1.2785488958650764,0.9915783826090604,1.1190729702784916,1.0150355918679177
oracle,id,5,0,throughput,3.268761634602315e+18,104,0.8137499999999998,0.9166666666666666,0.7789537608320284,55.728,33,28,1,1,4,2,2d075c940bbdb20f2a01cc92fa807341d7f69e52133b5f0482d729a646a0f8fd,101,3,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
oracle,id,5,0,semantic,3.268761634602315e+18,98,0.6153043478260868,0.6666666666666666,0.741074034373012,42.948,29,21,3,1,5,9,fb4f9c22c42b16e386f610e99cdf94ad762bb392232de7312a991cd0c60a2c1b,78,3,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_closed,id,5,0,throughput,3.268761634602315e+18,89,0.9042654426229504,1.0,0.4549206525668364,61.53599999999999,29,29,0,0,2,0,f827e014bb8f66c91bd8b70606c007fc2c8dbaca7bfea74ae8d1e840cf7231f9,64,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_closed,id,5,0,semantic,3.268761634602315e+18,89,0.9042654426229504,1.0,0.4478003037581513,61.53599999999999,29,29,0,0,2,0,a6c524ae6b73675fad7bafb270cf8377ca3143fc211cc4d7a0ccb99e57c35635,64,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_nojump,id,5,0,throughput,3.268761634602315e+18,89,0.9042654426229504,1.0,0.4549206525668364,61.53599999999999,29,29,0,0,2,0,9331b05c7e83b646b0b326ca08d4c8c09aba68923a79235fc2d67076caf5c723,64,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_nojump,id,5,0,semantic,3.268761634602315e+18,89,0.9042654426229504,1.0,0.4478003037581513,61.53599999999999,29,29,0,0,2,0,bf2b837703ebcfe892a6b5f31b26ffcdfa6a9bf7874b60e5d4f76ca167f0145b,64,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
gru_closed,id,5,0,throughput,3.268761634602315e+18,77,0.9107372307692309,1.0,0.424025677481282,48.176,23,23,2,2,2,1,51c953e1a9bef8128c1dacb8dd13c774c487fbcaa274be214dd1e0d3157f2ee2,43,5,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
gru_closed,id,5,0,semantic,3.268761634602315e+18,81,0.8193483737024222,0.8888888888888888,0.417296623173882,48.176,25,23,2,2,2,1,1a51aa52d6acab7625a805bc9d5a6e9c52120c94806d68a5a0df67038fbf8b28,43,5,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
oracle,id,5,1,throughput,1.7100991412651289e+19,57,0.849114074074074,1.0,0.5504861693838835,38.760000000000005,18,17,1,1,2,0,4e167d1261c6a1b1c27e131b6e03868f1e073fcc2d6aa0524d6371cdd416a7cf,45,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
oracle,id,5,1,semantic,1.7100991412651289e+19,59,0.8246791366906474,1.0,0.5473269144386131,38.760000000000005,19,17,1,1,2,0,f8ca86a267b5d354cdeacf8ac65b11dd27ec3fd2f29f0587ddadaeb7ff473053,46,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_closed,id,5,1,throughput,1.7100991412651289e+19,48,0.8210823529411763,1.0,0.5821454398900391,32.528000000000006,15,14,1,1,2,0,0fb06e316a04bc62e247982b0abe1d0d3bc1c7d39cca49ec2f57452fe4961baf,42,5,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_closed,id,5,1,semantic,1.7100991412651289e+19,48,0.8210823529411763,1.0,0.5805327679134665,32.528000000000006,15,14,1,1,2,0,2aabfb79b2b62aab457eb80f54c6ead45ab18d8e7ab288aaa1218313c0e780dd,42,5,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_nojump,id,5,1,throughput,1.7100991412651289e+19,54,0.6949129770992365,0.6666666666666666,0.5740375728054123,37.760000000000005,17,16,1,1,2,0,36ca36fe69e9e1f48cfd84b2a01e30f97b4e24636a734afe861d94f5b57ce964,44,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
cfc_nojump,id,5,1,semantic,1.7100991412651289e+19,54,0.6949129770992365,0.6666666666666666,0.5717707425028532,37.760000000000005,17,16,1,1,2,0,222523968f28ed79dbddfc4f3a8e5c7f5b79e2630b51d46b22c73ec28c93527c,44,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
gru_closed,id,5,1,throughput,1.7100991412651289e+19,54,0.6949129770992365,0.6666666666666666,0.5740375728054123,37.760000000000005,17,16,1,1,2,0,20c8efbdd38382b63462345e3b91d0ed19663b403fcf39e3485f46c3d1835c74,44,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
gru_closed,id,5,1,semantic,1.7100991412651289e+19,54,0.6949129770992365,0.6666666666666666,0.5717707425028532,37.760000000000005,17,16,1,1,2,0,8adb96f425557a8b067f2cb8bb3ee8f9f47d85931b0922a349939208c9346c16,44,4,1.278999642325394,1.1300213145185318,1.1066212018641954,1.1975249378327617
oracle,high_mobility,0,0,throughput,7.25657157690021e+18,59,0.5968714563106795,0.6666666666666666,0.3063252990791583,30.52,20,14,3,1,1,3,b6c6e995b5ac91db2d68a82ad0f17e3c56b46dbee4327088b7bbef0e8fb633ce,27,5,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
oracle,high_mobility,0,0,semantic,7.25657157690021e+18,59,0.5968714563106795,0.6666666666666666,0.3045923884927303,30.52,20,14,3,1,1,3,81a896e1b6b4afebbc6504d58da5cdf73945eeffbaa074601762ab55e5203624,27,5,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_closed,high_mobility,0,0,throughput,7.25657157690021e+18,112,0.7780800000000002,0.8333333333333334,1.1364208105896545,58.79999999999999,31,30,4,4,4,4,7ee02381568188c1235a41ff4dd583f1f222f2e37ff303969159a10e4f1cdefa,95,3,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_closed,high_mobility,0,0,semantic,7.25657157690021e+18,95,0.8126972394366198,0.9090909090909092,0.5579325723774932,57.05199999999999,31,28,2,2,1,0,80918682e19df7b707427106a2f0b39a9f7a6ce2421ce8ed1a8098f0556d58eb,82,2,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_nojump,high_mobility,0,0,throughput,7.25657157690021e+18,129,0.7469012154696129,0.8,0.714542727710338,71.388,38,33,4,4,2,5,1f2c5bd2067a3fb487589eefc7dd58d8d77a6133e96791aff9b95fe048bacd3b,98,2,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_nojump,high_mobility,0,0,semantic,7.25657157690021e+18,95,0.8126972394366198,0.9090909090909092,0.5579325723774932,57.05199999999999,31,28,2,2,1,0,3c07574e2029835051571d14098beb81a74a6c8ebf74972461fb369d87e07c75,82,2,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
gru_closed,high_mobility,0,0,throughput,7.25657157690021e+18,55,0.4392604784688994,0.6,0.5469332167011698,20.844,26,10,3,1,3,1,fd06d3e55227e7eee9f88e9234f2de074e5fb03d63995850accb9da8821a8495,33,6,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
gru_closed,high_mobility,0,0,semantic,7.25657157690021e+18,134,0.740416,0.8,0.9927723058031284,74.888,40,35,4,2,4,7,ac4833c564396f7f260c9cc8f4291bbe626f5caff98ac93e97f64577baaf49de,127,2,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
oracle,high_mobility,0,1,throughput,4.516596979128e+18,65,0.6071886192468617,0.7142857142857143,1.4992209862063723,34.352000000000004,23,16,0,0,4,0,530f425400b16ed116e07f11f01e41b4c27762bc60f929656bf77c5c117dd957,147,2,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
oracle,high_mobility,0,1,semantic,4.516596979128e+18,56,0.5992712871287129,0.6666666666666666,1.4287721774974282,27.94,19,13,0,0,5,0,b7d87551cca2d43ee05d498d3a8bc871d3cc24f53f5c9ba5a26b8785f41854bb,129,2,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_closed,high_mobility,0,1,throughput,4.516596979128e+18,80,0.813749492537313,0.9090909090909092,0.629760088726846,48.524,26,25,1,0,2,0,8d58627301b65e5111d5532fa14c9520d2c2d86e1fe18b69feecd8f8feb77850,61,3,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_closed,high_mobility,0,1,semantic,4.516596979128e+18,77,0.8151008996539791,0.8888888888888888,0.8055523333179635,49.86,25,24,0,0,3,0,be072cb4063ba632e8fc97968d6af8f71f9ec95b90cf193cc7c70086dcb88938,75,3,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_nojump,high_mobility,0,1,throughput,4.516596979128e+18,80,0.8125650149253729,0.9090909090909092,0.629750320818484,48.524,26,25,1,0,2,0,05173f46aac34b3e303bf5d3a040c261d580ee5fa50f772c36badb0ce629a674,61,3,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
cfc_nojump,high_mobility,0,1,semantic,4.516596979128e+18,77,0.8151008996539791,0.8888888888888888,0.8055523333179635,49.86,25,24,0,0,3,0,fdb1f0f97a950b91ae54474fb0339754384d46a0d8cd82c17aa54ee0095ee23a,75,3,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
gru_closed,high_mobility,0,1,throughput,4.516596979128e+18,71,0.8229580071174375,0.8888888888888888,0.7220165551705474,46.776,23,23,0,0,2,0,4a0bc49cfedfd1fde63d2921e306f920ebdeef283e6b16d9c792751b540079bc,58,4,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
gru_closed,high_mobility,0,1,semantic,4.516596979128e+18,80,0.8046837370242215,0.8888888888888888,0.8668816040275406,40.67599999999999,25,21,1,0,2,3,c8fc6afffb4df27096d06018baae4eedac808ec96067ec96159fbd624f00f4b8,115,3,1.574879148138536,1.0606824964952537,0.9685823691909724,1.171334671543386
oracle,high_mobility,1,0,throughput,1.028646420975653e+19,56,0.8060259360730592,0.8571428571428571,0.5887944376637007,34.968,18,16,1,0,1,1,20a2c7768db6dd3582735027125e7ef921c31b2df9160d2a4743093d3b9323a3,46,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
oracle,high_mobility,1,0,semantic,1.028646420975653e+19,57,0.8060259360730592,0.8571428571428571,0.5792588061065174,34.968,18,16,1,0,2,1,62836293bd724d27cfdab1cedbdd06e136cf70cdc2b903fc85eb5e9ba6f54c45,47,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
