regime,scenario,model,semantic,throughput,effect
high_stress,3,cfc_nojump,0.914507140464285,0.8074876594516593,0.1070194810126257
high_stress,3,gru_closed,0.8751777125788252,0.8497392683846636,0.025438444194161525
high_stress,3,oracle,0.4103874205762351,0.4840659815718156,-0.07367856099558046
high_stress,4,cfc_closed,0.8055679101726159,0.7064983516846788,0.09906955848793708
high_stress,4,cfc_nojump,0.8366185254323131,0.885692297226583,-0.04907377179426997
high_stress,4,gru_closed,0.8702671409028726,0.650046087437742,0.22022105346513066
high_stress,4,oracle,0.5993381420765025,0.47257231090245166,0.12676583117405082
high_stress,5,cfc_closed,0.8624881859866464,0.8142385857239854,0.04824960026266101
high_stress,5,cfc_nojump,0.7908339232952378,0.7866181416864031,0.004215781608834734
high_stress,5,gru_closed,0.8403596526530124,0.7216016149068323,0.1187580377461801
high_stress,5,oracle,0.7061296755956387,0.7280122251946257,-0.021882549598987056
id,0,cfc_closed,0.7443010976861723,0.8152250995950077,-0.07092400190883541
id,0,cfc_nojump,0.8635970189866993,0.6898292537313433,0.17376776525535598
id,0,gru_closed,0.7649059974259972,0.8709380086580085,-0.10603201123201134
id,0,oracle,0.8129591136657086,0.6756881285234788,0.1372709851422298
id,1,cfc_closed,0.8619656430540572,0.9122121330787665,-0.05024649002470927
id,1,cfc_nojump,0.8558242844555018,0.9287422159358791,-0.07291793148037728
id,1,gru_closed,0.8456924343101451,0.9335511217917906,-0.08785868748164549
id,1,oracle,0.9031651275762219,0.9176376514100785,-0.014472523833856554
id,2,cfc_closed,0.7219129549363604,0.4168325944272445,0.3050803605091159
id,2,cfc_nojump,0.6852186761889973,0.7448716823263755,-0.05965300613737812
id,2,gru_closed,0.8807580670194004,0.762106393162393,0.11865167385700737
id,2,oracle,0.5465120829864891,0.5050487268252398,0.0414633561612493
id,3,cfc_closed,0.7987750117497616,0.7953447145869272,0.0034302971628343837
id,3,cfc_nojump,0.771197384098544,0.771197384098544,0.0
id,3,gru_closed,0.8082936456456454,0.8835644206223028,-0.07527077497665735
id,3,oracle,0.832156800888642,0.8915950301434861,-0.0594382292548441
id,4,cfc_closed,0.6926134332084892,0.7626812856626939,-0.07006785245420466
id,4,cfc_nojump,0.8777691428571428,0.8776196592890677,0.00014948356807509278
id,4,gru_closed,0.7869647750865052,0.7869647750865052,0.0
id,4,oracle,0.8766318861634367,0.8842761871673972,-0.007644301003960519
id,5,cfc_closed,0.8824268546762586,0.8824268546762586,0.0
id,5,cfc_nojump,0.8778215370108435,0.8831289904761902,-0.005307453465346668
id,5,gru_closed,0.8745026778588136,0.8631417311132514,0.011360946745562206
id,5,oracle,0.7226433534309502,0.8499234464353791,-0.12728009300442888
