policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
qos,18,1449579985928280938,510,60.0,f37f142bcb9a13791ab2e22a24b113c4a6c97002aebdda4e2e94c85b1220355e,167,47,120,167,47,120,132,28,104,68.60000000000007,61.41129199999999,41.700452,443.5400000000004,407.0,0,6,2.446043469756773,28,9,0,0,0.5957446808510638,0.8666666666666667,0.7904191616766467,0.6078783090379003,0.0940173422915632
qos,19,10996544217852071282,470,60.0,cbd9f014a3ab31005ece1ffeb8ddee00c3eee5e1fd15880588510d3c20a77bc6,151,52,99,151,52,99,148,49,99,69.82000000000002,62.25988400000003,59.48788400000003,382.1200000000002,349.0,0,14,0.7062436080865343,4,7,0,0,0.9423076923076924,1.0,0.9801324503311258,0.8520178172443428,0.1556785407725321
qos,20,2868059839975754254,442,60.0,d756458e0966e50c0ef90edf56d22a049a1b57f98b6b5147dce9817c9d7a7469,142,42,100,142,42,100,132,35,97,59.99999999999998,54.277608,46.912008000000014,374.7600000000003,342.0,1,11,1.0422475696203304,8,7,0,0,0.8333333333333334,0.97,0.9295774647887324,0.7818668000000005,0.1251788024335574
qos,21,16297227859518275325,409,60.0,c10e3fbb71f92b483e73e23adf3a5062aa508eb09f9deaf79efe736893fd123f,131,44,87,131,44,87,128,42,86,59.659999999999975,53.91195199999997,51.75375199999997,335.6000000000001,305.0,0,13,0.9531660870185192,8,5,0,0,0.9545454545454546,0.9885057471264368,0.9770992366412212,0.8674782433791484,0.1542126102502978
qos,22,3080738017695136020,425,60.0,71cdfbedff75bdc56dd3c8d7f94641e698d3e307ee1a4389b2d1c4652adad3ba,136,38,98,136,38,98,131,35,96,55.63999999999998,50.1621,47.06934,364.2200000000002,332.0,1,12,1.0044568176554527,6,7,0,0,0.9210526315789472,0.979591836734694,0.9632352941176472,0.8459622573687997,0.1292332656086979
qos,23,12755441364100385393,403,60.0,6513715bf5123c8997864108bc2babe2fa1c3d208837c0e022a0fcf68e31e2b8,128,45,83,128,45,83,128,45,83,59.939999999999976,54.15587199999996,54.15587199999996,320.64000000000016,294.0,1,14,0.7390834925031737,3,9,0,0,1.0,1.0,1.0,0.903501368034701,0.1688993013972053
qos,24,6613960073083859421,396,60.0,b7c476a797990707c2502917f3dfe55205354f3b6b12538e3c16c8952863eec6,128,40,88,128,40,88,119,36,83,55.839999999999975,50.157832,45.58289200000001,332.2600000000001,304.0,1,7,1.2282005806722356,14,9,0,0,0.9,0.9431818181818182,0.9296875,0.8163125358166194,0.1371904291819659
qos,25,2174866923271902063,424,60.0,a1970c727c8372d5cedaa6e0d467b3bf4eea947cd0d9702b038cd069a63c166e,138,42,96,138,42,96,109,27,82,59.27999999999998,53.73910800000001,38.97462000000001,358.6200000000002,330.0,0,7,2.434032112677896,25,9,0,0,0.6428571428571429,0.8541666666666666,0.7898550724637681,0.6574665991902837,0.1086794378450727
qos,26,10536966481473086252,457,60.0,5175d4c9d4225f7e68344e92d5b06ba985847e7a987bd865857d1eaa5db81845,147,55,92,147,55,92,125,40,85,71.56000000000012,63.950008000000025,49.51019200000003,360.8800000000002,331.0,1,11,1.5270305246618134,14,9,0,0,0.7272727272727273,0.9239130434782608,0.8503401360544217,0.6918696478479591,0.1371929505652848
qos,27,18071393807982204052,398,60.0,6595b66a2c03151c6293bc665318a084757212a1e8a481278e0257f6064d17c5,130,45,85,130,45,85,124,40,84,60.299999999999976,53.687836000000026,48.98545600000001,325.5600000000002,300.0,0,5,1.0896431621740048,14,9,0,0,0.8888888888888888,0.9882352941176472,0.953846153846154,0.8123624543946938,0.1504652168571077
