metric,regime,model,effect_mean,effect_ci_lo,effect_ci_hi,effect_bias_mean,effect_bias_ci_lo,effect_bias_ci_hi,effect_mae,effect_rmse,sign_agreement,level_mae,level_rmse
critical_success_rate,high_stress,residual_predictive,-0.08214285714285713,-0.17499999999999996,-0.00714285714285714,-0.14047619047619048,-0.3833333333333333,0.026190476190476163,0.17380952380952377,0.2879131656067593,0.2,0.2202380952380952,0.2738550686758523
critical_success_rate,weak_channel,oracle,0.011666666666666648,-0.05833333333333335,0.07666666666666663,,,,,,,,
critical_success_rate,weak_channel,mechanistic_calibrated,0.016666666666666653,0.0,0.049999999999999954,0.0050000000000000044,-0.059999999999999984,0.075,0.045,0.07158910531638177,0.6,0.1125,0.15186342548487441
critical_success_rate,weak_channel,residual_quarter,-0.025,-0.14166666666666666,0.058333333333333307,-0.036666666666666646,-0.15999999999999998,0.08000000000000004,0.10333333333333335,0.1416176385749867,0.4,0.10833333333333332,0.14897799986724364
critical_success_rate,weak_channel,residual_idcal,-0.033333333333333326,-0.2,0.10000000000000005,-0.04499999999999997,-0.14333333333333334,0.033333333333333395,0.07833333333333337,0.10986102331784667,0.8,0.10416666666666666,0.1374621159932195
critical_success_rate,weak_channel,residual_predictive,-0.08833333333333333,-0.255,0.0666666666666667,-0.09999999999999998,-0.2733333333333333,0.033333333333333395,0.13333333333333336,0.20843330934484644,0.8,0.19333333333333333,0.2614064523559687
mean_latency,id,oracle,-0.00840110351547565,-0.0431081831199829,0.026305976089031603,,,,,,,,
mean_latency,id,mechanistic_calibrated,-0.00670016515298717,-0.022989791775502467,0.013337476457164921,0.00170093836248848,-0.049018081111539026,0.052419957836515985,0.051977335282906066,0.05800968984578182,0.4,0.10479560471279974,0.15323116642878545
mean_latency,id,residual_quarter,0.0033249795508801363,-0.008505997455444137,0.017293060805657533,0.011726083066355785,-0.02944417383077378,0.05289633996348535,0.042904954832977495,0.04777668720420649,0.6,0.10368208230616424,0.1504696000595472
mean_latency,id,residual_idcal,-0.007757941894452958,-0.023157336180721466,0.0034823118778660733,0.000643161621022692,-0.03917538614630127,0.04046170938834666,0.04155324570317189,0.04547621220609062,0.8,0.10094449642321963,0.14993886847055296
mean_latency,id,residual_predictive,0.005247361268904372,-0.01047372288083035,0.030037231375801297,0.013648464784380022,-0.011731917886344223,0.04155949454199235,0.02690393151690209,0.03404750929004139,0.8,0.11007963297216276,0.17419522793950018
mean_latency,high_mobility,oracle,-0.0034394947379097875,-0.016129575933358908,0.012608275623378929,,,,,,,,
mean_latency,high_mobility,mechanistic_calibrated,0.01124674575096939,-0.06607500642369889,0.1090485338385661,0.014686240488879176,-0.05467289292960771,0.11017842097255334,0.0687585483904036,0.09776511695044944,0.6,0.1894174077951334,0.21734608245540227
mean_latency,high_mobility,residual_quarter,-0.009346861009896323,-0.02790482432096133,0.0038472629345755794,-0.005907366271986536,-0.019943766141598006,0.006125628025135554,0.012039901759660077,0.0160660849898208,1.0,0.1679532897566382,0.21660268048343487
mean_latency,high_mobility,residual_idcal,0.028883339437252797,-0.0036431918579073906,0.09123495085452563,0.03232283417516259,-0.012546412708368971,0.10294352075815068,0.042762403935339977,0.07720158910487797,0.8,0.08803167033320383,0.12454307226560508
mean_latency,high_mobility,residual_predictive,0.046062850135393366,-0.0030607861968577786,0.12776891592345932,0.049502344873303156,-0.007658452878197652,0.13108741400306032,0.060127411999085265,0.09695908128633836,0.6,0.08191681540211262,0.10929667264188313
mean_latency,high_stress,oracle,0.12064392103043602,0.009157581566008644,0.29676996179866566,,,,,,,,
mean_latency,high_stress,mechanistic_calibrated,-0.028806830506347726,-0.07656598108983953,0.02232033927650816,-0.14945075153678375,-0.3232733899533682,-0.0060037047627593985,0.1857747847241302,0.23349489954175043,0.0,0.10713949678869139,0.1319080351439596
mean_latency,high_stress,residual_quarter,0.010853494259241602,-0.04103772483454593,0.08137654747695669,-0.10979042677119444,-0.3071821336302293,0.0594070962550252,0.17796026009802257,0.23105966206999345,0.2,0.1032676418234689,0.13179315870751834
mean_latency,high_stress,residual_idcal,-0.043442202731174884,-0.07235392376864123,-0.01453048169370853,-0.1640861237616109,-0.35577104806048654,-0.05696261326132934,0.1640861237616109,0.25191696811837827,0.2,0.11581101152748234,0.15009974115289182
mean_latency,high_stress,residual_predictive,0.09603319339553922,-0.035283678884797644,0.3244609041822976,-0.0246107276348968,-0.07261698389328905,0.03841969600492947,0.0613978178946903,0.0688882880176837,0.6,0.10913491989245779,0.13059199652620393
mean_latency,weak_channel,oracle,-0.08638059025009995,-0.20372709023640576,-0.011452309866298771,,,,,,,,
mean_latency,weak_channel,mechanistic_calibrated,0.011345201452493537,-0.009622899226334681,0.04768188016525177,0.09772579170259348,0.0033158829255857556,0.21872930462575613,0.09818317229890827,0.15669100325039792,0.8,0.10453136921370829,0.18977819729989678
mean_latency,weak_channel,residual_quarter,0.03590591800987131,0.009518384427846227,0.060880567092392535,0.12228650825997125,0.02558534426164356,0.2500642657362534,0.12228650825997125,0.17803918130374238,0.2,0.1548165133246872,0.1859497848264544
mean_latency,weak_channel,residual_idcal,0.006387052747561262,-0.13123252013035583,0.1197731214323247,0.0927676429976612,0.0216287896775196,0.1659734847456804,0.09379939924633866,0.12433775374388002,0.6,0.12750834601441885,0.14323970736877348
mean_latency,weak_channel,residual_predictive,0.038347971474443174,-0.05169832096087083,0.13973265843585053,0.12472856172454312,0.04527370140240803,0.20307544758706894,0.12472856172454312,0.15592656245151618,0.6,0.1267223737255148,0.14804449105120643
